uid,namedLocation,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,samplingImpractical,biophysicalCriteria,collectDate,eventID,sampleID,sampleCode,samplingMethod,totalSampledArea,targetTaxaPresent,adultCount,nymphCount,larvaCount,sampleCondition,samplingProtocolVersion,measuredBy,remarks
"340bf6d3-9cf9-4a78-9ec1-d3e15f77241f","RMNP_007.tickPlot.tck","D10","RMNP","RMNP_007","distributed","evergreenForest",40.180329,-105.535913,"WGS84",20.1,2821.9,0.1,,,"2019-09-16T15:14Z","RMNP.2019.38",,,"drag and flag",160,"N",,,,,"NEON.DOC.014045vK","0000-0001-9432-1283",
"9a6b47b3-5a4d-4570-9967-7c87ee6a171e","RMNP_012.tickPlot.tck","D10","RMNP","RMNP_012","distributed","evergreenForest",40.156570,-105.533982,"WGS84",20.1,2925.1,0.2,,,"2019-09-16T16:38Z","RMNP.2019.38",,,"drag and flag",160,"N",,,,,"NEON.DOC.014045vK","0000-0002-5795-6850",
"4c5c6f7b-9441-4278-8aa0-89e26bf44ce4","RMNP_002.tickPlot.tck","D10","RMNP","RMNP_002","distributed","evergreenForest",40.196225,-105.473182,"WGS84",20.1,2637.7,0.1,,,"2019-09-18T14:32Z","RMNP.2019.38",,,"drag and flag",160,"N",,,,,"NEON.DOC.014045vK","0000-0002-9897-9899",
"18a7379b-fbd2-42f0-9940-acf35132ea0b","RMNP_003.tickPlot.tck","D10","RMNP","RMNP_003","distributed","evergreenForest",40.200139,-105.482624,"WGS84",20.1,2658.3,0.1,,,"2019-09-18T15:39Z","RMNP.2019.38",,,"drag and flag",160,"N",,,,,"NEON.DOC.014045vK","0000-0002-2359-6738",
"bd877ff5-ef2f-47bc-bba6-d118a939e27b","RMNP_013.tickPlot.tck","D10","RMNP","RMNP_013","distributed","evergreenForest",40.197179,-105.488569,"WGS84",20.1,2649.5,0.1,,,"2019-09-18T16:12Z","RMNP.2019.38",,,"drag and flag",160,"N",,,,,"NEON.DOC.014045vK","0000-0002-9897-9899",
"3e331ef9-dbdd-4697-a2b2-1e7ea2436e73","RMNP_004.tickPlot.tck","D10","RMNP","RMNP_004","distributed","evergreenForest",40.185729,-105.539818,"WGS84",20.1,2864.5,0.1,,,"2019-09-18T17:18Z","RMNP.2019.38",,,"drag and flag",160,"N",,,,,"NEON.DOC.014045vK","0000-0002-9897-9899",
